numero,variable,region,surprisal
1,1_N_Embedd,2,8.938385718232158
1,1_N_Embedd,3,15.600277336931942
1,1_N_Embedd,4,15.388200368126645
1,1_N_Embedd,5,4.522101815449455
1,1_N_Embedd,6,9.759270526064709
1,1_N_Embedd,7,19.00954325272784
1,1_N_Embedd,8,15.58174588609454
1,1_G_Embedd,1,3.7804869828640273
1,1_G_Embedd,2,9.472123579677932
1,1_G_Embedd,3,15.693062893817554
1,1_G_Embedd,4,16.932625711645883
1,1_G_Embedd,5,6.317026412581781
1,1_G_Embedd,6,17.39875967969524
1,1_G_Embedd,7,20.447636372346718
1,1_G_Embedd,8,15.29716235050079
1,2_Embedd,1,3.5497702816876386
1,2_Embedd,2,9.809190283985794
1,2_Embedd,3,10.979471679094367
1,2_Embedd,4,14.908737021530795
1,2_Embedd,5,6.0010927615556495
1,2_Embedd,6,16.379683395430636
1,2_Embedd,7,20.636863559165043
1,2_Embedd,8,15.713983501707009
2,1_N_Head,1,10.961365292686262
2,1_N_Head,2,13.286496852147634
2,1_N_Head,3,14.835324274883414
2,1_N_Head,4,17.653855442198573
2,1_N_Head,5,14.127449576329841
2,1_N_Head,6,18.073081599772777
2,1_N_Head,7,16.787188832624413
2,1_N_Head,8,16.51625174143769
2,0_Head,1,5.288685920151573
2,0_Head,2,12.538289129953764
2,0_Head,3,17.439551590786355
2,0_Head,4,19.637296984151046
2,0_Head,5,12.031562414378488
2,0_Head,6,18.959441372168836
2,0_Head,7,19.96804443356136
2,0_Head,8,16.921076534311005
2,2_Head,1,7.764023191851285
2,2_Head,2,13.94056872455868
2,2_Head,3,15.87187080912512
2,2_Head,4,16.16534793239659
2,2_Head,5,19.637787268379952
2,2_Head,6,17.37080927106744
2,2_Head,7,18.168861626991813
2,2_Head,8,16.406389582490036
2,1_G_Head,1,4.048455501355693
2,1_G_Head,2,12.620668305540118
2,1_G_Head,3,18.642778776910962
2,1_G_Head,4,17.895126790107078
2,1_G_Head,5,21.239927999466815
2,1_G_Head,6,16.217943418504156
2,1_G_Head,7,19.73313526962342
2,1_G_Head,8,16.53557889074326
2,2_Head,1,7.578543019159644
2,2_Head,2,11.967111477747004
2,2_Head,3,14.835324274883414
2,2_Head,4,18.710247593631077
2,2_Head,5,10.982765948757184
2,2_Head,6,18.630125403251952
2,2_Head,7,17.561086474083773
2,2_Head,8,17.591381824946108
2,1_G_Head,1,3.2098086287835152
2,1_G_Head,2,12.086875290816707
2,1_G_Head,3,17.439551590786355
2,1_G_Head,4,20.908960633566124
2,1_G_Head,5,11.812598991337873
2,1_G_Head,6,18.90452925104066
2,1_G_Head,7,19.738267029100175
2,1_G_Head,8,17.2624203864712
2,1_N_Head,1,6.166080822615896
2,1_N_Head,2,11.446692380394651
2,1_N_Head,3,15.87187080912512
2,1_N_Head,4,16.332456695045604
2,1_N_Head,5,17.193403376718205
2,1_N_Head,6,16.28551601943352
2,1_N_Head,7,18.474254470720226
2,1_N_Head,8,17.18065673172644
2,0_Head,1,2.180118936202292
2,0_Head,2,11.919455200719907
2,0_Head,3,18.642778776910962
2,0_Head,4,18.034757444060293
2,0_Head,5,21.063459913318553
2,0_Head,6,17.218693620844686
2,0_Head,7,19.873634555561942
2,0_Head,8,17.174545148856666
2,0_Head,1,13.437673250326872
2,0_Head,2,13.10572963267907
2,0_Head,3,15.55084543390637
2,0_Head,4,16.519277089618335
2,0_Head,5,17.60295200647063
2,0_Head,6,19.699317742007487
2,0_Head,7,16.187028164454265
